1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Ac2,3.893
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Alloc80,5.45
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',BackProp,1.791
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Bayes,1.557
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',BayesTree,3.114
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',C4.5,1.868
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',CART,1.09
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Cal5,0
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Cascade,67.655
Aust_Credit,'\'(-inf-2243]\'','\'(-inf-6043]\'','\'(-inf-23.4]\'','\'(-inf-10.9]\'','\'(-inf-4.3]\'','\'(-inf-0.1]\'','\'(-inf-1.32471]\'','\'(-inf-0.11614]\'','\'(0.7464-0.7948]\'','\'(0.70532-0.79098]\'','\'(0.91505-inf)\'','\'(0.64035-0.71228]\'','\'(1.48728-2.14082]\'','\'(-inf-16.91902]\'','\'(0.74824-1.20718]\'','\'(2.2206-2.8384]\'','\'(-inf-0.14832]\'','\'(-inf-17.46844]\'','\'(16.88521-32.74728]\'',Castle,1.324
