0	0	0	0	0	0	0	0	0	MIT
1	1	1	0	1	0	0	1	0	MIT
2	0	0	0	0	0	0	1	0	MIT
3	0	2	1	0	0	0	1	0	NUC
4	1	2	0	2	0	0	0	0	MIT
5	2	2	1	0	0	1	0	0	CYT
6	2	3	0	3	0	0	1	0	MIT
7	2	2	1	0	0	0	1	1	NUC
8	2	3	2	4	0	0	0	0	MIT
9	1	4	1	0	0	0	1	0	CYT
10	1	4	1	1	0	0	1	0	NUC
11	1	4	1	0	0	0	1	0	NUC
12	1	2	1	4	0	0	1	0	CYT
13	0	2	0	5	0	0	1	0	MIT
14	3	3	0	0	0	0	0	0	MIT
15	1	2	0	0	0	0	0	0	CYT
16	2	4	0	0	0	0	0	1	CYT
17	0	2	1	0	0	0	0	0	NUC
18	2	4	1	1	0	0	0	0	NUC
19	0	0	1	1	0	0	0	0	NUC
20	1	2	0	0	0	0	0	0	CYT
21	1	2	0	1	0	0	0	0	CYT
22	3	0	3	1	0	0	0	0	CYT
23	1	3	0	0	0	0	1	0	CYT
24	1	3	0	0	0	0	1	0	CYT
25	2	3	0	2	0	0	1	0	MIT
26	0	2	1	0	0	0	2	0	CYT
27	0	2	1	0	0	0	0	0	CYT
28	0	1	1	1	0	0	0	0	MIT
29	4	5	4	4	0	0	1	1	ME1
30	2	3	3	6	0	0	1	1	NUC
31	2	3	3	7	0	0	1	0	MIT
32	1	0	2	0	0	0	1	2	CYT
33	5	3	0	5	0	0	0	0	NUC
34	4	6	3	1	0	0	3	0	ME1
35	4	1	0	4	0	0	3	0	EXC
36	3	0	0	1	0	0	1	0	MIT
37	1	2	1	0	0	0	1	0	CYT
38	0	3	3	5	0	0	0	0	MIT
39	0	3	1	4	0	0	1	0	MIT
40	6	1	3	1	0	0	1	0	ME2
41	6	6	0	4	0	0	1	0	ME2
42	4	0	3	1	0	0	2	0	ME2
43	1	3	3	0	0	0	0	0	ME3
44	5	4	1	0	0	0	0	0	VAC
45	2	4	1	4	0	0	0	1	NUC
46	4	6	1	5	0	0	3	1	ME2
47	2	4	0	1	0	0	0	0	EXC
48	4	0	0	1	0	0	1	0	VAC
49	1	7	4	0	0	0	0	0	ME3
50	2	4	0	1	0	0	1	0	CYT
51	1	3	0	0	0	0	1	3	ME3
52	1	2	1	5	0	0	1	1	NUC
53	0	3	1	1	0	0	0	0	CYT
54	0	0	1	1	0	0	0	0	CYT
55	0	3	1	1	0	0	0	0	CYT
56	3	0	0	6	0	0	0	0	CYT
57	2	2	0	4	0	0	1	0	CYT
58	1	3	1	0	0	0	0	0	CYT
59	1	0	0	3	0	0	1	0	MIT
60	1	4	0	2	0	0	1	0	MIT
61	5	4	0	0	0	0	0	0	NUC
62	2	2	0	4	0	0	1	2	NUC
63	1	2	1	0	0	0	1	0	NUC
64	2	3	3	6	0	0	1	0	CYT
65	0	2	0	1	0	0	0	0	CYT
66	5	2	1	6	0	0	1	0	CYT
67	2	3	1	0	0	0	0	0	CYT
68	2	4	1	0	0	0	1	0	CYT
69	4	5	0	4	0	0	1	0	EXC
70	2	2	0	1	0	0	1	0	CYT
71	0	3	0	1	0	0	1	0	CYT
72	0	3	3	3	0	0	0	0	MIT
73	1	3	1	3	0	0	0	0	MIT
74	1	3	1	1	0	0	0	0	MIT
75	2	2	1	2	0	0	3	0	MIT
76	0	3	1	4	0	0	0	0	MIT
77	2	3	1	2	0	0	0	0	MIT
78	0	0	1	4	0	0	3	0	MIT
79	1	0	0	5	0	0	0	0	MIT
80	2	2	1	5	0	0	1	0	MIT
81	2	0	0	5	0	0	0	0	MIT
82	2	3	1	2	0	0	1	0	MIT
83	2	3	2	4	0	0	0	0	MIT
84	3	0	3	5	0	2	0	0	MIT
85	7	0	5	0	0	0	0	0	ME3
